iter	Passed	Remaining
0	1	162
1	4	223
2	5	190
3	6	165
4	8	154
5	9	146
6	10	144
7	12	141
8	13	136
9	14	132
10	16	129
11	17	127
12	18	124
13	19	121
14	21	119
15	22	117
16	23	114
17	24	111
18	25	110
19	27	108
20	28	107
21	29	105
22	31	104
23	32	102
24	33	100
25	35	100
26	36	99
27	38	97
28	39	96
29	41	96
30	42	95
31	44	93
32	45	92
33	47	91
34	48	89
35	49	88
36	50	86
37	52	84
38	53	83
39	54	81
40	55	80
41	56	78
42	58	76
43	59	75
44	60	74
45	62	72
46	63	71
47	64	70
48	65	68
49	67	67
50	68	65
51	69	64
52	71	63
53	72	61
54	73	60
55	74	58
56	75	57
57	77	55
58	78	54
59	79	52
60	80	51
61	81	50
62	82	48
63	83	47
64	85	46
65	86	44
66	88	43
67	89	42
68	90	40
69	91	39
70	92	37
71	94	36
72	95	35
73	96	34
74	98	32
75	99	31
76	100	30
77	102	28
78	103	27
79	104	26
80	106	24
81	107	23
82	108	22
83	109	20
84	110	19
85	112	18
86	113	16
87	114	15
88	115	14
89	117	13
90	119	11
91	120	10
92	122	9
93	123	7
94	124	6
95	125	5
96	127	3
97	128	2
98	130	1
99	131	0
