iter	Passed	Remaining
0	150	150345
1	152	76038
2	153	51094
3	155	38622
4	156	31211
5	158	26242
6	160	22750
7	161	20044
8	163	18057
9	165	16429
10	167	15050
11	169	13992
12	171	13056
13	173	12205
14	174	11473
15	175	10819
16	177	10263
17	179	9765
18	180	9309
19	181	8895
20	182	8520
21	184	8183
22	185	7874
23	186	7590
24	188	7333
25	189	7098
26	191	6912
27	193	6732
28	195	6538
29	196	6356
30	197	6188
31	199	6027
32	200	5876
33	201	5734
34	203	5611
35	205	5506
36	207	5408
37	209	5296
38	210	5197
39	212	5092
40	213	4994
41	215	4910
42	216	4822
43	218	4740
44	219	4665
45	221	4594
46	223	4524
47	224	4454
48	226	4392
49	227	4326
50	228	4260
51	230	4197
52	231	4135
53	232	4075
54	235	4040
55	237	3998
56	238	3950
57	239	3897
58	241	3848
59	242	3800
60	243	3752
61	244	3704
62	246	3658
63	247	3614
64	248	3573
65	249	3534
66	251	3496
67	252	3456
68	253	3419
69	254	3382
70	255	3345
71	256	3309
72	257	3274
73	258	3240
74	260	3207
75	261	3177
76	262	3146
77	263	3117
78	264	3089
79	266	3062
80	267	3037
81	268	3010
82	269	2977
83	270	2951
84	271	2925
85	272	2901
86	274	2876
87	275	2852
88	276	2829
89	277	2808
90	279	2792
91	280	2772
92	282	2752
93	283	2732
94	284	2712
95	285	2692
96	287	2672
97	288	2652
98	289	2633
99	290	2615
100	291	2596
101	293	2580
102	294	2568
103	296	2555
104	298	2540
105	299	2523
106	300	2506
107	301	2489
108	302	2472
109	303	2456
110	304	2440
111	305	2425
112	307	2411
113	308	2398
114	309	2384
115	310	2369
116	311	2353
117	313	2339
118	314	2325
119	315	2311
120	316	2297
121	317	2282
122	318	2268
123	319	2255
124	320	2242
125	321	2230
126	322	2218
127	324	2208
128	325	2196
129	326	2184
130	327	2172
131	328	2160
132	329	2148
133	330	2136
134	331	2125
135	332	2114
136	333	2102
137	334	2092
138	336	2081
139	337	2072
140	338	2062
141	339	2050
142	340	2039
143	341	2030
144	342	2020
145	343	2010
146	344	2000
147	345	1990
148	346	1981
149	348	1972
150	349	1963
151	350	1954
152	351	1945
153	352	1937
154	353	1929
155	355	1920
156	356	1912
157	357	1903
158	358	1895
159	359	1886
160	360	1876
161	361	1868
162	362	1860
163	363	1853
164	365	1847
165	366	1840
166	367	1833
167	369	1827
168	370	1820
169	371	1813
170	372	1806
171	373	1799
172	374	1792
173	375	1784
174	377	1778
175	378	1771
176	379	1764
177	380	1758
178	381	1751
179	383	1745
180	384	1738
181	385	1731
182	386	1725
183	387	1718
184	388	1711
185	389	1704
186	390	1699
187	392	1693
188	393	1687
189	394	1681
190	395	1675
191	396	1669
192	397	1664
193	399	1658
194	400	1651
195	401	1646
196	402	1639
197	403	1633
198	404	1628
199	405	1622
200	406	1616
201	407	1611
202	408	1605
203	410	1599
204	411	1594
205	412	1589
206	413	1584
207	414	1578
208	415	1573
209	416	1567
210	417	1562
211	419	1557
212	420	1553
213	421	1547
214	422	1542
215	423	1537
216	424	1532
217	425	1527
218	427	1522
219	428	1517
220	429	1513
221	430	1508
222	431	1503
223	432	1498
224	433	1493
225	434	1489
226	435	1484
